"id","dateCreated","dateModified","createdBy","createdByName","modifiedBy","modifiedByName","c_nombreProveedor","c_zonaProcedencia","c_instrumento","c_plazas","c_frigorifico","c_producto","c_transformadores","c_mayoristas","c_asociaciones","c_campesino"
"4a947201-76ba-424a-aecf-2c9cd07fecfe",2023-01-23 20:05:18.000,2023-01-23 20:05:18.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,eb77e6d7-d38a-4030-a52c-ccd5e1a469f1,,,Pesca Artesanal,,,,
"519e78df-1367-464e-8f79-2b3d31fbce03",2023-01-30 16:28:10.000,2023-01-30 16:28:10.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,f578e136-b8ee-467d-a17f-925cb837b41c,,,"",,,,
"5a288423-4000-4942-b82d-85a97075c2c9",2023-01-18 15:58:43.000,2023-01-18 15:58:43.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"323f8893-2fa7-4ced-928d-4fbefce45079",,,Pesca Artesanal,,,,
"86f4e1a2-b56a-420f-a1a4-034224ae5cce",2023-01-25 17:05:39.000,2023-01-25 17:05:39.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,cb8c0c27-792c-4c50-b715-d2af3f6736a4,,,Pesca Artesanal,,,,
"8efd7fbc-53d9-45ea-b312-55265e8640db",2023-01-30 17:09:20.000,2023-01-30 17:09:20.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,af845f68-4c01-4bd9-bc96-0e77238ba65b,,,Plátano,,,,
"903506f4-c1bd-4329-a1d3-bc1104732db2",2023-01-30 17:09:21.000,2023-01-30 17:09:21.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,af845f68-4c01-4bd9-bc96-0e77238ba65b,,,Yuca,,,,
"9224d9de-bf94-434d-9e84-b7922212c8e3",2023-01-30 16:28:09.000,2023-01-30 16:28:09.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,f578e136-b8ee-467d-a17f-925cb837b41c,,,Queso,,,,
a4ab1384-eae5-4f6f-90fa-92970c280177,2023-01-27 14:34:44.000,2023-01-27 14:34:44.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"1fc369e4-18c2-4ee6-8709-b82d7bad26cc",,,Pesca Artesanal,,,,
b254c990-ac4a-4dab-90d4-f65b8cf99ab8,2023-02-07 15:27:29.000,2023-02-07 15:27:29.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"5463bf72-5b3b-46ec-bca4-be956359817d",,,Pesca Artesanal,,,,
b839695f-72b9-4e61-84a7-23d7dfdd0028,2023-02-07 15:27:28.000,2023-02-07 15:27:28.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"5463bf72-5b3b-46ec-bca4-be956359817d",,,Pollo de engorde,,,,
bb107c94-9593-4fc6-bebc-315f4fc1b3b6,2023-01-30 16:42:02.000,2023-01-30 16:42:02.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d949c577-60e0-4922-a86b-a6e0f845ac3f,,,Plátano,,,,
bf76fc41-2662-489b-ad9a-59216d9e7565,2023-01-30 15:35:45.000,2023-01-30 15:35:45.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"3635b1bd-33fe-41a8-a2a5-f7e23f0d2d9a",,,Producción acuícola,,,,
de2bf914-e5cb-4f3f-a470-a7b498ac28ff,2023-01-25 23:25:39.000,2023-01-25 23:25:39.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,ed4f10e4-7fd1-445f-a6bd-c6441d86005f,,,Pesca Artesanal,,,,
e2088ff8-42a8-489e-af0d-a600996b120d,2023-02-07 14:28:25.000,2023-02-07 14:28:25.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,d6743c96-161d-4b0e-b638-a68c86207a4d,,,Carne porcina,,,,
e3c7beb2-ecad-4f6e-b5f5-509ba51ada09,2023-01-26 01:37:01.000,2023-01-26 01:37:01.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,c98c4ef0-3b9d-45fb-95d6-bc580dff307d,,,Pesca Artesanal,,,,
e763791f-03f2-4f4b-ac9b-89be65443605,2023-01-29 17:37:54.000,2023-01-29 17:37:54.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"5e641596-c60e-4bb5-8601-1c11dce8a185",,,Limón,,,,
eca82a9c-a4e4-4d22-932f-83648e046915,2023-01-29 17:37:53.000,2023-01-29 17:37:53.000,aeherrerad,Andrés Herrera,aeherrerad,Andrés Herrera,,,"5e641596-c60e-4bb5-8601-1c11dce8a185",,,Naranja,,,,
