id;dateCreated;dateModified;createdBy;createdByName;modifiedBy;modifiedByName;c_otro;c_instrumento;c_c001Almacenamiento;c_producto;c_c001Gondola
3906172d-51d2-44ac-b31a-c8e893ee8aca;2023-01-30 16:38:16.000;2023-01-30 16:38:16.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;Yuca;c7d1d2c9-775b-4d16-8724-c8807b4847e7;1 a 3 días;;
3d6c63f7-2496-441b-9217-3a976ba46c9b;2023-01-19 22:46:00.000;2023-01-19 22:46:00.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;yuca;ad41d730-cf5d-458f-ac8d-de2448cac9af;4 a 5 días;;
421fa3df-5415-47a2-8487-e2d1abc5f1c9;2023-01-30 17:05:54.000;2023-01-30 17:05:54.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;8947d3e0-ea55-4439-984c-ca6f88706537;1 a 3 días;Plátano;
43077d1b-fc17-433d-be2b-81fbcda1b294;2023-01-29 17:32:33.000;2023-01-29 17:32:33.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;c8693293-1157-49d9-a825-75fca0b3bb4e;1 a 3 días;Naranja;
4ab50161-f3f2-4aa9-992f-da70c9e0c2f4;2023-01-30 13:32:37.000;2023-01-30 13:32:37.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;yuca;26d13cd1-2423-434b-8935-77bb1f056706;Menos de 1 día;;
4b3985ae-c691-4d3a-8121-654d4fdf4cf2;2023-02-07 16:48:19.000;2023-02-07 16:48:19.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;d647040c-55cf-47e8-b892-00c3799aaed7;10 a 15 días;Queso;
4bca176c-f9b1-42ce-b7d4-d4e6c85d8986;2023-01-28 01:22:43.000;2023-01-28 01:22:43.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;e092de31-b383-4404-899a-437031cc929b;Menos de 1 día;Pollo de engorde;
4c5c1eaa-b1c1-4b55-a847-5e73a6da7e18;2023-02-07 15:49:23.000;2023-02-07 15:49:23.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;34980f36-1c36-4aa4-83b5-6d81dd639b96;Menos de 1 día;Leche;
56139cae-7b64-44fd-8db9-eba25ef9aa1a;2023-01-20 15:28:30.000;2023-01-20 15:28:30.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;9b883102-4a95-4239-83ef-a8fa5092ad48;;;
598e8f72-c425-4ce9-8f08-b63c114c681f;2023-01-24 00:46:41.000;2023-01-24 00:46:41.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;2596f67d-c3ad-4f0a-970b-34d7c80ff541;Menos de 1 día;Pesca Artesanal;
59dc7c48-4558-40ec-ad41-2f89ac7d07a7;2023-01-27 14:31:47.000;2023-01-27 14:31:47.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;5f49ca15-bd1f-4abb-923c-09e38d9cc8e6;1 a 3 días;Pesca Artesanal;
5bdbd18c-5095-4bb7-acf0-e43f90d38d23;2023-02-01 20:15:31.000;2023-02-01 20:15:31.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Maíz;
5dc08f01-6ff3-4d8c-9dc3-3ae403b12b87;2023-02-01 20:15:26.000;2023-02-01 20:15:26.000;aeherrerad;Andrés Herrera;aeherrerad;Andrés Herrera;;cd9d9570-4365-45fd-b75b-e2c37f12f762;Mas de 15 días;Pollo de engorde;
